ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Erro_Mag_G,Paralaxe_Gaia,Erro_Paralaxe_Gaia,Mag_Ap_B,Mag_Ap_G,Cor_B_G,Erro_Cor_B_G,Distancia_pc,Mag_Abs_G,Erro_Mag_Abs_G
50,784.2745846588042,129.71677178925705,276.7069826572021,-14.99369442278949,17909.27128159409,196.44306658613937,91.16774438939518,45.36215523416823,0.0119088171729111,6.2786552804884215,352.1809355185953,250,14.79374046410285,46.061662168922794,0.0092683765602966,0.1847,0.01769999973475933,14.794482583551712,13.555039945645532,1.2394426379061798,0.01509048476760365,5414.185165132648,-0.11262557715325983,0.20830083853142795
418,574.4045688689508,1104.061918955519,276.5624781442303,-15.027935971257294,17890.760326414136,180.1079002771931,99.33356781617884,45.36327802736767,0.0109298399712082,6.2786552804884215,352.1809355185953,250,14.794907062994383,45.74858068998893,0.0074679768533906,0.5967,0.01510000042617321,14.795605376751155,13.241958466711665,1.5536469100394896,0.013237525451495768,1675.8840288252052,2.120738655932154,0.055456091048234256
161,1331.323581523386,404.3232239454024,276.66368860570384,-14.91598004685767,17691.000176674133,180.2267687282045,98.15967018391972,45.37546905459353,0.0110605506107115,6.2786552804884215,352.1809355185953,250,14.807573722229035,46.180528976858696,0.0095486692218574,0.4241,0.04639999940991402,14.807796403977015,13.673906753581434,1.1338896503955809,0.01461207937702767,2357.934449422306,1.8112481158799838,0.23776860671306493
480,978.4057878056936,1251.5375020119814,276.5387829402202,-14.970312021400176,17685.8833050651,169.8562264837221,104.12266698247883,45.3757831338596,0.0104271243857276,6.2786552804884215,352.1809355185953,250,14.807900055274004,46.21438470827664,0.0097283397285579,0.429,0.019300000742077827,14.808110483243084,13.707762484999378,1.1003479982437057,0.01426062820599686,2331.002331002331,1.8700489459229992,0.09817414638571255
417,1191.55735207087,1099.4836257261345,276.5605774803714,-14.938979576734743,17394.869703748205,169.96385350572288,102.34452411472596,45.393797071646425,0.0106082861725259,6.2786552804884215,352.1809355185953,250,14.826616805486474,46.18431735782224,0.0097817695572508,0.8602,0.019500000402331352,14.82612442102991,13.677695134544976,1.1484292864849337,0.014429786941925466,1162.5203441060219,3.3506923256353396,0.0501879043434634
408,348.42613922689765,1081.436141005366,276.56679969797403,-15.06040490907308,16945.918003167113,170.3525604006154,99.47556974380466,45.42218727008169,0.0109142375640187,6.2786552804884215,352.1809355185953,250,14.856114645374866,46.304951258957345,0.0106002920636486,0.7049,0.021900000050663948,14.854514619465178,13.798329035680084,1.0561855837850942,0.015214689396714227,1418.6409419775855,3.0389665885194574,0.06829152978312952
702,1084.428706943839,1982.5243947901308,276.42926991413066,-14.957931182910638,16837.820355875592,174.25333072772793,96.6283989267603,45.42913534247083,0.0112358272729211,6.2786552804884215,352.1809355185953,250,14.863333796284827,46.27032239310451,0.0109403923745696,1.2448,0.021800000220537186,14.861462691854314,13.763700169827246,1.0977625220270681,0.015682346757308303,803.3419023136247,4.2391980680553125,0.039571107823121336
372,472.88022129871774,1007.3925384891309,276.5773300636995,-15.042175171432207,16021.415866338968,165.58638554960734,96.75563491020932,45.48309778791398,0.011221051890234,6.2786552804884215,352.1809355185953,250,14.91940158247159,46.35591396948891,0.0107404858058943,0.6565,0.022199999541044235,14.915425137297461,13.849291746211648,1.0661333910858133,0.015532869692041486,1523.2292460015233,2.93546539833914,0.07421117612981473
143,2488.6619201307662,368.1532782705576,276.66415163605814,-14.748939168427988,15961.898378411075,165.2608865412884,96.58606287594368,45.4871386678276,0.0112407522128165,6.2786552804884215,352.1809355185953,250,14.92360011701062,46.2990692689323,0.0099626826856731,1.8763,0.02070000022649765,14.919466017211086,13.792447045655038,1.1270189715560477,0.015020304810667113,532.9638117571817,5.158958438493322,0.025945449400270222
420,761.7497921726526,1109.1786803804305,276.5609309363714,-15.000960783792989,15872.568232484193,167.28027923183205,94.88606968718985,45.49323201497632,0.011442143231132,6.2786552804884215,352.1809355185953,250,14.929931195639297,46.389244415141384,0.0125456579118972,0.6272,0.02319999970495701,14.925559364359806,13.882622191864122,1.0429371724956837,0.01697987556385761,1594.387755102041,2.869652440246032,0.08129617864700951
368,1328.9196506050027,993.1494533539048,276.575864165289,-14.918749185885732,15737.416288958746,166.44592726471174,94.54972282938664,45.50251643916273,0.011482846987919,6.2786552804884215,352.1809355185953,250,14.93957785093588,46.18010568085669,0.009678819416177,0.3562,0.018400000408291817,14.934843788546218,13.67348345757943,1.261360330966788,0.01501783340695073,2807.411566535654,1.431953033215553,0.11258719345162846
544,2234.7390228816216,1401.2877216142967,276.51119389755405,-14.789820797620614,15642.770943241863,167.65289804619374,93.30450666550232,45.50906580671701,0.0116360938908583,6.2786552804884215,352.1809355185953,250,14.94638274157188,46.443589325897435,0.0113273576060206,0.7186,0.020899999886751175,14.941393156100496,13.936967102620173,1.0044260534803229,0.016239079757533754,1391.5947676036737,3.2194031669633265,0.06416359389516996
651,781.3738262909598,1784.481183292853,276.46007353729703,-15.000819805760944,15541.236378964417,170.70175185919,91.04321548957628,45.516136106624245,0.0119251060516893,6.2786552804884215,352.1809355185953,250,14.953728888697349,46.18828397903976,0.0094959429586861,0.9044,0.024000000208616257,14.94846345600773,13.681661755762498,1.2668017002452316,0.01524405087300147,1105.7054400707652,3.463464524129108,0.05840139435129739
645,2819.724657992881,1756.3664854811975,276.45581136285824,-14.70690200960804,15476.122453194024,159.05332686267704,97.30146962946428,45.52069462824936,0.0111581048481022,6.2786552804884215,352.1809355185953,250,14.958465260700244,46.42157090690764,0.011100287512702,0.7212,0.01940000057220459,14.953021977632844,13.914948683630378,1.0380732940024657,0.01573911327444751,1386.5779256794233,3.2052272738821994,0.059457134529547824
397,2564.1552679074457,1055.0130776798126,276.5614382216603,-14.74090820102411,15389.589843839727,162.93844432335712,94.45033004794462,45.52678240825,0.0114949307159528,6.2786552804884215,352.1809355185953,250,14.964790554978972,46.17347389354127,0.0094562721464557,0.589,0.019099999219179153,14.959109757633485,13.666851670264009,1.2922580873694756,0.014884707423136977,1697.792869269949,2.517428144199517,0.07104827520766176
