ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Erro_Mag_G,Mag_Ap_B,Mag_Ap_G,Cor_B_G,Erro_Cor_B_G
639,2212.2486266950173,1730.567894666218,276.4621862041083,-14.794386639596729,7095.406932994549,132.8505336753805,53.40894565265455,46.36740675169386,0.0203280552861098,6.2786552804884215,352.1809355185953,250,15.838211793852498,47.2188058223024,0.0188905408571227,15.799734101077348,14.7130922569957,1.0866418440816474,0.02775035793624577
59,799.086431759296,168.5257890674147,276.70112929791327,-14.991721502559113,7093.970626395603,138.5705367147932,51.19393194670568,46.3676265569777,0.0212075915780457,6.2786552804884215,352.1809355185953,250,15.83844017482292,46.97287768718812,0.0163106766864434,15.799953906361182,14.467164121881417,1.3327897844797647,0.026754441024078285
616,2034.3642731102768,1651.097985882687,276.4747773965265,-14.819713264962392,7085.272646121215,135.88068734443289,52.14333828148319,46.36895860454825,0.0208214517094995,6.2786552804884215,352.1809355185953,250,15.839824192129086,47.21220295237897,0.0186687216582004,15.801285953931732,14.706489387072274,1.0947965668594577,0.027965228760773266
550,1191.3780382691357,1416.2755072299,276.513315101418,-14.940280185766133,7049.278362638346,142.48604941711733,49.47346348274495,46.374488370749525,0.0219450979084709,6.2786552804884215,352.1809355185953,250,15.845569701742114,47.210464672729444,0.0189678374729076,15.80681572013301,14.704751107422744,1.1020646127102651,0.02900631277172284
267,852.3485996810812,717.8465529552137,276.6189432737761,-14.98631514708187,6986.744172910112,136.0176729697045,51.36644393604853,46.38416291820558,0.0211363667952506,6.2786552804884215,352.1809355185953,250,15.855621700938322,47.05937762196651,0.0175818107219541,15.816490267589067,14.553664056659812,1.262826210929255,0.027493018560463534
548,591.1560478393235,1412.142193105271,276.5164299502838,-15.026754522772537,6977.180587487208,150.43803732169502,46.37909874194438,46.38565011220621,0.0234092517847509,6.2786552804884215,352.1809355185953,250,15.857166917700845,47.084008230671714,0.0185740875485556,15.817977461589692,14.578294665365014,1.2396827962246775,0.029882934885704773
7,529.3583793783132,34.81651687292185,276.7222294985268,-15.030040241284752,6889.974939020525,144.58118307947575,47.6547140663051,46.399305916063746,0.022782635910676,6.2786552804884215,352.1809355185953,250,15.871355501717098,46.78464939394376,0.0149359637177134,15.83163326544723,14.27893582863706,1.5526974368101705,0.027242090801098115
157,1646.2051664473988,390.4869460608006,276.6644132384142,-14.870524267675442,6818.238446004078,132.72938407573773,51.36947250590322,46.41066955864525,0.0211351206667585,6.2786552804884215,352.1809355185953,250,15.883162495957826,46.92378859092604,0.0147906873164619,15.842996908028738,14.418075025619338,1.4249218824094,0.02579646791504196
78,1042.6383125122752,217.9913748552038,276.69271212866244,-14.956820430117588,6666.264608637022,135.0683237291083,49.35475931430686,46.43514365063774,0.0219978785244583,6.2786552804884215,352.1809355185953,250,15.908591442805609,46.733625752166304,0.0132959363845744,15.867471000021226,14.227912186859605,1.6395588131616208,0.02570386321002104
175,1478.1119168897562,441.671094834756,276.6574942104163,-14.894973030975384,6652.51437374152,133.5108478040352,49.82751950991997,46.43738546772529,0.0217891641140966,6.2786552804884215,352.1809355185953,250,15.910920724217934,46.98807334283305,0.0165695239969319,15.869712817108777,14.482359777526348,1.387353039582429,0.027373651533471693
514,2701.8904533943805,1332.5232637774602,276.5194883420546,-14.722180470093887,6593.880901836936,131.40455075725706,50.18000414626262,46.44699727496789,0.0216361082162417,6.2786552804884215,352.1809355185953,250,15.920907535395983,47.01193421614409,0.0158630281964764,15.879324624351376,14.506220650837392,1.3731039735139845,0.02682828437129603
326,1680.1231236342662,874.5590543993042,276.5920745945593,-14.86763692343354,6552.656476906734,138.35039426514354,47.36275969224059,46.453806520031165,0.0229230730441974,6.2786552804884215,352.1809355185953,250,15.927982442642412,47.13348668400972,0.0175372651850252,15.88613386941465,14.627773118703018,1.2583607507116312,0.02886213692642155
347,1641.469255872851,934.7004046658632,276.5832675834719,-14.873455838523366,6473.077342272358,135.70544933583352,47.699465083773305,46.46707303135548,0.022761261538116,6.2786552804884215,352.1809355185953,250,15.941766545906589,47.15947302482553,0.0177927501331876,15.899400380738967,14.653759459518831,1.2456409212201365,0.028890430666720184
185,394.082280487664,478.1027672319587,276.6566535927504,-15.05137430612352,6468.404458221863,129.80160439061558,49.83300852550569,46.46785710225137,0.021786764077154,6.2786552804884215,352.1809355185953,250,15.94258120726942,46.96554564982564,0.0154799108487143,15.900184451634857,14.459832084518943,1.4403523671159135,0.02672621800475538
405,934.838945409279,1073.135742195333,276.5655844235065,-14.975871737828596,6467.537190322444,137.5020195888208,47.03594325132566,46.46800268487452,0.0230823477738888,6.2786552804884215,352.1809355185953,250,15.94273246978764,47.35995001947142,0.0210100213544422,15.900330034258005,14.85423645416472,1.0460935800932845,0.031212429832822478
640,960.5926869120836,1731.1226067530922,276.46729528195294,-14.974787450988597,6458.547488599317,136.63918214066885,47.26717027587518,46.469512878633395,0.0229694308684718,6.2786552804884215,352.1809355185953,250,15.944301583642249,47.40773191376806,0.0231103528627893,15.90184022801688,14.902018348461361,0.9998218795555189,0.032583479922564114
226,1736.7894994305957,604.4910263084242,276.6321128680662,-14.858353528997933,6425.6420552778,137.45353567239377,46.74773932765652,46.475058698624,0.0232246524776372,6.2786552804884215,352.1809355185953,250,15.950063773381984,46.71604222064701,0.014540255049854,15.907386048007481,14.210328655340312,1.697057392667169,0.02740079377722157
614,2173.490356580792,1646.802126067919,276.47483887205897,-14.799639290200629,6420.494193904917,133.42225209080812,48.1216145979539,46.47592887774407,0.0225615871177806,6.2786552804884215,352.1809355185953,250,15.95096790247486,47.073765897822526,0.0168973381481157,15.908256227127552,14.568052332515826,1.3402038946117258,0.02818767904182552
9,2288.288814086987,35.31607710933373,276.71462668771744,-14.776432198357217,6388.052512525552,144.7530798692133,44.13068459957645,46.48142882776103,0.0246019296970167,6.2786552804884215,352.1809355185953,250,15.956682432627389,47.30676952420366,0.0199162996522719,15.913756177144514,14.80105595889696,1.1127002182475536,0.031653024131290175
607,157.26358301100643,1624.2451979420357,276.486569225083,-15.09009985568273,6308.760295364365,144.95921828207292,43.52093209476536,46.49498995549444,0.0249466164381756,6.2786552804884215,352.1809355185953,250,15.970772646737668,47.2026954522156,0.0200044052103412,15.927317304877924,14.696981886908901,1.2303354179690231,0.03197670870388288
67,1677.4855583825392,200.1932006523917,276.6926589216856,-14.865216927995924,6288.802233658353,129.3308047086649,48.62571023063475,46.498430177878824,0.022327694440872,6.2786552804884215,352.1809355185953,250,15.974347089139204,47.30614553556217,0.0195638574226887,15.930757527262308,14.800431970255474,1.1303255570068345,0.029686199761846215
669,2450.391574554088,1843.752789976948,276.4443191446104,-14.760505012235573,6275.095823257434,135.23161358528827,46.40258040920171,46.50079911653876,0.0233974057137715,6.2786552804884215,352.1809355185953,250,15.976808451762494,47.01642735822199,0.0162236189744596,15.933126465922243,14.51071379291529,1.4224126730069528,0.0284718177635934
214,2564.903297856421,570.4688809429477,276.63366774045454,-14.738791437916731,6215.792927570408,134.87628411370395,46.08514364415871,46.51110867672477,0.0235585682098142,6.2786552804884215,352.1809355185953,250,15.98752023866247,47.30639601779741,0.0193354013433671,15.943436026108252,14.800682452490712,1.14275357361754,0.030477268270065652
566,194.541912701234,1474.720650794319,276.5087359909771,-15.084141054444927,6152.793855762022,135.3529777696385,45.45739559741091,46.522169110038675,0.0238839024042511,6.2786552804884215,352.1809355185953,250,15.99901219394886,47.037870976468156,0.0169055055859568,15.95449645942216,14.532157411161457,1.422339048260703,0.029261526159320674
534,1171.152967988681,1372.657284043593,276.5199071059803,-14.943020361525406,6079.764214781899,140.0789244441423,43.402419306883374,46.53513317966797,0.0250147346009307,6.2786552804884215,352.1809355185953,250,16.01248205577808,47.36561448624687,0.0226922528302912,15.967460529051458,14.85990092094017,1.1075596081112877,0.03377388466950254
403,1174.050691496211,1067.5697608952548,276.565412105612,-14.941373546385188,6064.727613756724,135.52419410384246,44.75014704097601,46.53782177145139,0.0242613727951746,6.2786552804884215,352.1809355185953,250,16.015275542767377,46.62620055943182,0.0129100803283739,15.970149120834876,14.120486994125123,1.8496621267097524,0.02748243773742615
324,591.076144752468,871.452485323427,276.5971218098735,-15.024593749893906,6026.70278314114,143.25747767760444,42.06902760569335,46.54465058657451,0.0258075848621009,6.2786552804884215,352.1809355185953,250,16.022370783598067,47.35608052397562,0.0218382317888646,15.976977935957997,14.850366958668921,1.1266109772890758,0.033807392742989155
444,2098.7093853379606,1170.7538216365365,276.5461405333389,-14.808497998628184,5957.723617798736,129.64575414581148,45.953866033268895,46.557149141236906,0.0236258685877265,6.2786552804884215,352.1809355185953,250,16.035356968429014,47.1457222471807,0.0181886732210487,15.98947649062039,14.640008681874,1.3494678087463896,0.029816262342329494
141,1569.7095700583486,367.46438362605295,276.6681723613316,-14.881457563821122,5895.666474201571,130.54817827166383,45.16084829566141,46.56851775437575,0.0240407353044407,6.2786552804884215,352.1809355185953,250,16.04716912715299,47.367175296142534,0.0206563832579623,16.000845103759232,14.861461730835835,1.1393833729233975,0.031696105806202864
325,1360.78324103255,874.5447337140946,276.593422763497,-14.913672381865634,5895.594800072868,133.9901880694687,44.0001979623779,46.5685309538452,0.0246748889840977,6.2786552804884215,352.1809355185953,250,16.047182841598747,47.175470083856304,0.018648969243454,16.000858303228682,14.669756518549605,1.3311017846790776,0.030929503717661545
91,1568.3812664433062,248.3032432131604,276.68594977590755,-14.881150647867504,5889.067675921309,131.66614780732667,44.72727252975504,46.569733658758196,0.024273780594999,6.2786552804884215,352.1809355185953,250,16.04843246995332,47.1167634319393,0.0177666853819176,16.00206100814168,14.611049866632598,1.3910111415090824,0.030081082657281377
246,2002.3702667003715,666.8371737478357,276.62168954715776,-14.820318134847977,5862.686547123711,125.1972081174095,46.82761409204672,46.574608334356256,0.0231850377400371,6.2786552804884215,352.1809355185953,250,16.053497330652604,47.51205723751668,0.0239943555350447,16.00693568373974,15.00634367220998,1.0005920115297613,0.033365776966063215
55,1761.067117375601,143.83512381194925,276.70070609155573,-14.85292739814379,5750.283628487843,128.2232672677417,44.84586729864506,46.5956268554998,0.024209588651055,6.2786552804884215,352.1809355185953,250,16.0753358878151,47.368046657112274,0.0209344401097302,16.027954204883287,14.862333091805574,1.1656211130777123,0.03200554585319818
584,464.98091173286656,1533.556586786729,276.49883257366605,-15.045414322959866,5738.988581454207,135.5120506982064,42.35039283875413,46.59776162003938,0.025636125835567,6.2786552804884215,352.1809355185953,250,16.07755394003236,47.03666642070353,0.0177665061321411,16.030088969422863,14.530952855396833,1.4991361140260295,0.031190698741779307
602,1794.1941078678085,1608.737364737872,276.4820946388142,-14.854164974620163,5738.482943985669,129.4231873811705,44.33890912518624,46.59785728377598,0.0244863940367734,6.2786552804884215,352.1809355185953,250,16.077653336082435,46.95068087228731,0.0156256744565994,16.030184633159465,14.444967306980608,1.5852173261788565,0.029047292389270205
273,1587.2171227306658,739.3829564255442,276.61262803073834,-14.880475428622006,5669.148347183276,130.80664551260702,43.339910789447536,46.61105546787785,0.0250508129856222,6.2786552804884215,352.1809355185953,250,16.091366446342736,47.55464281991296,0.0247839143154447,16.04338281726133,15.048929254606257,0.9944535626550746,0.03523897898685378
159,270.61224241806224,397.53410180562304,276.66920019063934,-15.06883505662413,5660.2386674315785,131.05328104299196,43.19036213656292,46.61276316201187,0.0251375525995161,6.2786552804884215,352.1809355185953,250,16.093140766034747,47.187885896667396,0.018560668733089,16.045090511395358,14.682172331360697,1.3629181800346615,0.031247319477243265
303,1569.681354711314,814.0581062182671,276.60156421837627,-14.883310573542596,5629.912363536219,131.9370208471235,42.671210304647126,46.618595935230616,0.0254433842454607,6.2786552804884215,352.1809355185953,250,16.099201104461194,47.497915113660525,0.0243125638178218,16.0509232846141,14.992201548353826,1.0587217362602743,0.035191853620657944
323,1035.2258007736243,867.0460219412039,276.5959120909348,-14.960567209057542,5562.25310582621,127.62432555353288,43.58301665220621,46.631723153688284,0.0249110796681174,6.2786552804884215,352.1809355185953,250,16.11284048035803,47.52580788732796,0.0254910111359611,16.06405050307177,15.020094322021258,1.0439561810505111,0.035642019288544595
531,2473.344205324536,1368.1780226221513,276.5151314063494,-14.755282598544428,5524.80285586603,129.48130165741438,42.66873120015216,46.639058057930704,0.0254448625366232,6.2786552804884215,352.1809355185953,250,16.12046155533688,47.429431400263894,0.02237318238923,16.07138540731419,14.923717834957195,1.147667572356994,0.033882153410451976
392,1424.5542373752112,1053.490497671481,276.56646116688256,-14.905209469062754,5443.272687277611,127.96993633071156,42.535558298713305,46.655199793266824,0.0255245268529328,6.2786552804884215,352.1809355185953,250,16.137233059261074,47.188303504824404,0.0181920484663902,16.08752714265031,14.682589939517705,1.4049372031326044,0.03134409192287404
370,680.8479369072716,1003.1540323630056,276.5770913435116,-15.012190988756531,5383.541258183919,131.23715371980742,41.02147224007792,46.66717990735103,0.0264666268837438,6.2786552804884215,352.1809355185953,250,16.149680576593735,47.295332010814775,0.020948044464292,16.099507256734512,14.789618445508076,1.3098888112264362,0.033753561374783324
641,663.3248270983764,1739.496585678299,276.4672748224554,-15.017650820166244,5365.547290558345,136.2683127454235,39.3748714022919,46.67081495422572,0.0275734233874045,6.2786552804884215,352.1809355185953,250,16.153457444548387,47.3943424866616,0.0222744252479431,16.103142303609204,14.8886289213549,1.214513382254303,0.03544634956419731
220,1262.0750404448022,580.1027860268799,276.6377618923996,-14.926691380543147,5291.351976614882,127.45365937073586,41.51588901204832,46.68593339312052,0.0261514332424609,6.2786552804884215,352.1809355185953,250,16.169165728197694,47.71350420553691,0.0280277390945603,16.118260742504006,15.207790640230208,0.9104701022737984,0.038333426919434595
80,942.7605083790578,231.0012573012007,276.69119656518745,-14.971272258022752,5262.950530047383,137.6250184330475,38.24123397017185,46.69177680214156,0.0283908202556132,6.2786552804884215,352.1809355185953,250,16.17523711738147,47.41992445641522,0.0214869765912779,16.124104151525046,14.914210891108517,1.2098932604165284,0.03560517992962065
113,1082.0623754385272,300.6673407383926,276.6802107437019,-14.951482067272655,5242.311258323287,128.8839184350304,40.67467316309058,46.69604301346196,0.0266922857780993,6.2786552804884215,352.1809355185953,250,16.179669774615128,47.321139436150474,0.0197680412350528,16.128370362845445,14.815425870843775,1.3129444920016695,0.0332152611660735
135,992.0709535995508,350.9204780926073,276.6730963617348,-14.964663378172895,5220.139217824792,133.6444068249929,39.05991535179287,46.700644807887635,0.0277957591618325,6.2786552804884215,352.1809355185953,250,16.184451107703644,47.09206654173905,0.0169734902088683,16.13297215727112,14.586352976432352,1.5466191808387677,0.032568444808635605
290,2324.854085399957,779.4472267467945,276.603532507861,-14.77428153519562,5169.450169523392,130.1183957122207,39.72881882863453,46.71123913833618,0.0273277694130056,6.2786552804884215,352.1809355185953,250,16.195458775156496,47.62050767133849,0.0245075891423614,16.143566487719667,15.114794106031788,1.0287723816878795,0.03670734131834114
321,2473.067689389294,858.7066290205839,276.59108849577314,-14.753235146471454,5143.818640369631,126.36006227318612,40.70762983045127,46.716635901864024,0.0266706758541821,6.2786552804884215,352.1809355185953,250,16.201066093006805,47.32878926953815,0.0198230271966822,16.14896325124751,14.82307570423145,1.325887547016059,0.033230668933370185
