ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst,Erro_Mag_Inst,Std_Fundo,Area_Ap,Exptime
855,491.2659743507852,1865.5860228270587,276.45562530598085,-15.025207482658404,39195.53217489633,259.5438544709302,-4.537713287614167,0.007189257223035377,4.248347012311862,993.1466590310957,600
857,217.4155750787981,1873.10516334647,276.45562524994034,-15.064806000241704,39158.35431854089,259.4722230553243,-4.536682953332203,0.007194096827449683,4.248347012311862,993.1466590310957,600
424,1968.6903179019084,839.7629571100928,276.60268156256876,-14.807717818677503,38557.48624954169,258.31176215626107,-4.519893654990083,0.007273531224468405,4.248347012311862,993.1466590310957,600
80,1857.3800498558057,172.8090551363441,276.70276660924986,-14.82106104927705,36467.47587070969,254.23405768983977,-4.459386134713657,0.0075689888001148195,4.248347012311862,993.1466590310957,600
559,2805.431124249887,1127.8530082871166,276.55607822774914,-14.688209709292284,36277.890762540745,253.86092842592348,-4.453726945919348,0.007597376920176881,4.248347012311862,993.1466590310957,600
660,2104.4811395959964,1358.1685437309877,276.52469432436976,-14.79024204404658,36248.3442281764,253.80272742212108,-4.452842307585002,0.007601826429026372,4.248347012311862,993.1466590310957,600
58,1168.883501440404,133.88824998844285,276.7115827050643,-14.920289727115307,36133.56754117645,253.5765126345647,-4.449398980213815,0.007619176253593456,4.248347012311862,993.1466590310957,600
531,712.7656651298337,1073.8539188148093,276.57305420007486,-14.98998795102761,35854.17117784999,253.02500152471313,-4.44097109302851,0.007661848960131342,4.248347012311862,993.1466590310957,600
160,583.7582108125059,343.940952704099,276.6827158582372,-15.005656696044992,35755.472251915315,252.82988840452865,-4.437978170288415,0.007677074096709568,4.248347012311862,993.1466590310957,600
250,422.8309483475706,480.7072933547863,276.66295776110303,-15.029463536109155,35596.08145986253,252.51447815638932,-4.4331273539432035,0.007701830024282979,4.248347012311862,993.1466590310957,600
402,631.4094216549644,789.153326288437,276.61595594867947,-15.000582374282635,35455.03527759074,252.23504018340083,-4.428816678620155,0.007723912301398991,4.248347012311862,993.1466590310957,600
589,2007.9711620528763,1205.6831510638212,276.54787262170805,-14.803543255887863,34268.083542514476,249.87109428912655,-4.391846416543637,0.0079165514678735,4.248347012311862,993.1466590310957,600
66,80.24056145559113,148.3609058327383,276.71412442241865,-15.077623635394517,33217.191348636756,247.75930167678436,-4.3580291447089206,0.00809798369185492,4.248347012311862,993.1466590310957,600
819,324.04139420519056,1756.5924056827268,276.47260811575757,-15.048924788671519,32966.11177435616,247.2520818781659,-4.349791191055462,0.008142955624628483,4.248347012311862,993.1466590310957,600
695,2035.0637133911046,1427.1161612888818,276.51469386660534,-14.800538407889787,32110.4464271029,245.51563421874786,-4.321237732902617,0.008301233826705912,4.248347012311862,993.1466590310957,600
756,1942.1497065207932,1578.4274050038111,276.49249241925196,-14.814561807586085,31402.97061179817,244.07058575446828,-4.297048705950796,0.008438291976558099,4.248347012311862,993.1466590310957,600
569,452.56748009735554,1152.2224309521514,276.56243296152877,-15.02789638823081,30809.51639183372,242.8517996856618,-4.2763340774763465,0.008557881778001849,4.248347012311862,993.1466590310957,600
529,2670.386499479198,1065.0744907248657,276.56602794138314,-14.70742440469764,30530.75647301809,242.27718978836862,-4.266465786850054,0.008615585571412121,4.248347012311862,993.1466590310957,600
