ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_R_Calibrada
365,268.15214908542066,435.631003265553,276.67157275947164,-15.04116129082259,5947.13344619883,101.06745320511388,58.84321072313231,21.17182591263857,0.018450726713544,3.344222022651961,399.5664568589252,175,14.404936133303321
726,153.92449130419902,827.4566497851359,276.613501952632,-15.059228998440554,5906.972528610495,98.08840527097608,60.22090493052743,21.179182743962098,0.0180286231376379,3.344222022651961,399.5664568589252,175,14.412247610954692
1049,552.7345098979863,1201.7772982253498,276.55587365063354,-15.003182042899416,5904.030695333262,192.2621777418863,30.70822750826986,21.179723604870006,0.0353553457198927,3.344222022651961,399.5664568589252,175,14.412785137542807
1478,2706.813959253571,1654.7853551646328,276.4792299606012,-14.69417225471186,5879.8758299105975,96.81323638565055,60.73421413667459,21.18417473465211,0.0178762500747399,3.344222022651961,399.5664568589252,175,14.417208826831585
452,200.4437437540406,537.4510818390653,276.65664546594,-15.051346511373897,5878.226893892977,97.62572438540772,60.21186455617846,21.18447925819429,0.0180313300045214,3.344222022651961,399.5664568589252,175,14.417511473035505
258,464.92408859962944,325.76103012471737,276.6871469219651,-15.012310791614343,5861.696186928981,110.38765077023965,53.10101398144153,21.187536858960364,0.0204459372542197,3.344222022651961,399.5664568589252,175,14.420550224188668
481,916.0077104519848,567.1574759428802,276.64913891975914,-14.94818240005002,5832.291183912079,103.1197665228547,56.55842115022102,21.192997125446528,0.0191960804053625,3.344222022651961,399.5664568589252,175,14.42597682901736
252,1376.624371329376,319.32120685980175,276.68419552851526,-14.880665455283284,5831.966279222164,98.13839958897462,59.42593626600528,21.193057611214464,0.0182698004982224,3.344222022651961,399.5664568589252,175,14.426036941900344
74,1814.8697185401763,102.53225960303386,276.7147039099938,-14.816482848329656,5824.118984181259,100.4598218943778,57.97460989234745,21.194519524615067,0.0187271635292764,3.344222022651961,399.5664568589252,175,14.427489842841892
1079,220.82231357523136,1232.36880951106,276.55271082385065,-15.051195983419028,5823.928100232559,100.70875705856626,57.82941097014738,21.19455510991319,0.0187741839625594,3.344222022651961,399.5664568589252,175,14.42752520876242
1227,2320.931260007843,1373.288039837509,276.5228350621528,-14.748704638846291,5810.878523804247,97.86611403371916,59.37579703841256,21.19699063015586,0.0182852282268753,3.344222022651961,399.5664568589252,175,14.429945714417729
234,2638.7221987936096,292.8214473130255,276.6827776711752,-14.698312538854404,5791.49634351104,100.77480790805568,57.46968378044492,21.200618155500948,0.0188916995636824,3.344222022651961,399.5664568589252,175,14.433550876657291
298,195.99722172045432,369.2405776457891,276.68180713509554,-15.051306850044211,5779.745208182489,100.32160470543634,57.61216863658571,21.202823387740267,0.0188449771236443,3.344222022651961,399.5664568589252,175,14.435742513997445
