ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_R,Erro_Mag_R,Mag_Ap_B,Mag_Ap_R,Cor_B_R,Erro_Cor_B_R
482,1681.5260972179035,1254.9884110965183,276.535327797961,-14.868984079642,54178.71671694255,253.3976384745624,213.80908300130565,44.160278236500105,0.0050778946561094,6.2786552804884215,352.1809355185953,250,13.544972325916063,44.76441044139487,0.0080155734413499,13.589727924935481,13.012713083790054,0.5770148411454272,0.009488647518599175
677,1674.4930844782343,1877.8223216285487,276.4424544764708,-14.872487153740051,53896.93889328369,256.17259464223525,210.3930710018178,44.165939771955706,0.0051603410455975,6.2786552804884215,352.1809355185953,250,13.55085474575094,44.30144999219961,0.006219023227706,13.595389460391083,12.549752634594789,1.0456368257962936,0.008081173776972319
668,2655.124164846529,1841.616497027882,276.44378705752365,-14.730977830893323,50860.96790985737,251.34160234745409,202.3579361109797,44.22888846977699,0.0053652454698122,6.2786552804884215,352.1809355185953,250,13.616259382275375,44.603947851708305,0.0072859498187701,13.658338158212366,12.852250494103487,0.8060876641088797,0.009048255285577235
255,1844.7097813880468,695.5373150935359,276.6180777398267,-14.843170103997284,50525.09158936469,252.7579398776606,199.89517090469937,44.23608224804154,0.0054313468158648,6.2786552804884215,352.1809355185953,250,13.62373382525697,44.71942826394323,0.0077752734192881,13.665531936476917,12.96773090633841,0.6978010301385069,0.009484429607461525
462,2465.0918009051147,1207.8348886552574,276.53907192612047,-14.755819892026912,50403.4409414767,246.11103165479247,204.79960041846093,44.23869955701045,0.0053012798744803,6.2786552804884215,352.1809355185953,250,13.626453248338125,44.513782874002565,0.0070224226015133,13.668149245445825,12.762085516397747,0.9060637290480784,0.008798749200983893
43,2707.6700830674727,120.0565649679826,276.7001943008871,-14.716297583138942,50311.75864258857,251.3380239497942,200.17567518012527,44.240676275899865,0.0054237359210755,6.2786552804884215,352.1809355185953,250,13.628507088766083,44.552281305349624,0.0071209531966348,13.670125964335242,12.800583947744805,0.8695420165904366,0.008951250514326369
108,1792.7284388108976,293.5207098524874,276.67824947324107,-14.848991193061533,48647.36242244564,245.3042579993604,198.3143823886355,44.27720177535057,0.0054746407543571,6.2786552804884215,352.1809355185953,250,13.666457627826148,44.80972955439951,0.0080538964210257,13.706651463785946,13.058032196794692,0.648619266991254,0.00973842589692391
399,541.6920684533296,1058.88894900226,276.569356568921,-15.032467691551998,48301.589320743165,247.3976601986352,195.2386666954,44.284946469031496,0.0055608861624416,6.2786552804884215,352.1809355185953,250,13.674504480147585,43.792850301223616,0.0048683007607769,13.714396157466872,12.041152943618798,1.6732432138480746,0.007390792055592919
598,1732.128789233492,1600.650750949746,276.4835590449078,-14.86307901067021,47206.23833497983,243.22879704002693,194.0816174295815,44.30985153487062,0.0055940382936777,6.2786552804884215,352.1809355185953,250,13.700381215254154,44.28785135190628,0.0062096897966352,13.739301223305993,12.536153994301465,1.2031472290045286,0.008357841336228381
393,1327.1166497639313,1054.2925251460151,276.5667506113896,-14.91925761537268,46945.86999600826,242.0076884649204,193.98503532590527,44.31585654225347,0.0055968234775222,6.2786552804884215,352.1809355185953,250,13.706620507547656,44.49903348517444,0.0068919801553438,13.745306230688847,12.747336127569618,0.9979701031192292,0.008878278183307641
611,1422.6850406004353,1645.2720485460438,276.4781890430788,-14.90785749858903,46811.95572288547,243.016603850664,192.62863105292948,44.31895805772527,0.0056362337938313,6.2786552804884215,352.1809355185953,250,13.709843028411916,43.71739458240563,0.0046937338506165,13.748407746160645,11.965697224800813,1.7827105213598315,0.007334730318092763
256,1142.591510413709,704.2627536067613,276.619745204618,-14.944425969895384,46555.803930583934,243.2346404234098,191.4028521987744,44.324915445448895,0.0056723292653574,6.2786552804884215,352.1809355185953,250,13.716032843168776,44.61868046157799,0.0073974131841368,13.75436513388427,12.866983103973169,0.8873820299111017,0.00932185824347651
634,1430.3745112624188,1707.392122406609,276.4688898404441,-14.906995903721576,43386.77639024367,235.3212683591265,184.3725248158641,44.40145656286646,0.0058886214260194,6.2786552804884215,352.1809355185953,250,13.79556020651604,44.21565000334415,0.0060045313717758,13.830906251301833,12.463952645739333,1.3669536055625002,0.008410128375572784
150,2660.9411878663154,379.7279207511926,276.6616903446632,-14.724138119505325,43358.639937783824,232.8282998914505,186.2258151521896,44.4021608944029,0.005830018781836,6.2786552804884215,352.1809355185953,250,13.796292017494306,44.10151048390876,0.0056455610657647,13.831610582838273,12.349813126303943,1.4817974565343306,0.00811550853266995
699,2347.6243689711746,1961.690110493721,276.4271596099673,-14.775789781777592,43278.74830320568,236.37977473108265,183.0898957088936,44.40416329236217,0.0059298739332192,6.2786552804884215,352.1809355185953,250,13.798372538859107,43.684291122275354,0.0046012893380111,13.833612980797547,11.932593764670536,1.9010192161270112,0.007505682409745777
454,1412.606977915314,1198.113916595432,276.5449375138704,-14.907517744953523,40017.39303639848,229.85685550964945,174.0970176750658,44.48922803973924,0.0062361780488758,6.2786552804884215,352.1809355185953,250,13.886756080946608,44.609265537863465,0.0072822854472674,13.918677728174615,12.857568180258646,1.0611095479159687,0.009587575188375991
