ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst,Erro_Mag,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada
339,169.33777026143983,507.3963642984369,276.6532312408012,-15.083879432383366,1598.4913527247843,128.989277245354,12.392435920733556,22.985574293595402,0.0876098942084126,6.2786552804884215,352.1809355185953,250,17.513811991659356
1196,225.5181080102477,1887.9941604864948,276.4469143840268,-15.081299139382727,1598.399521517451,149.97401996365224,10.657842751063416,22.985636669491534,0.1018686450305969,6.2786552804884215,352.1809355185953,250,17.513876588201025
1278,385.597092628645,2048.5930262965157,276.42228268520495,-15.058864667604729,1596.374863457604,134.5957976201527,11.860510444484952,22.987012819784,0.0915390619216428,6.2786552804884215,352.1809355185953,250,17.51530173084787
605,76.14835468780393,919.0941701643994,276.59217086608874,-15.098979238696584,1581.642933833151,121.39793663061243,13.028581685418152,22.997078908113593,0.0833321712381891,6.2786552804884215,352.1809355185953,250,17.525726182191555
42,444.43762962597134,75.94883599146,276.71645378542735,-15.04245146657061,1570.075375047163,127.75079265565095,12.29014194283132,23.005048766164517,0.0883390936451531,6.2786552804884215,352.1809355185953,250,17.533979775320045
167,1766.371031897835,269.7186621256852,276.6819113603166,-14.852692013262187,1566.7339397861506,121.60544884836058,12.883747847021516,23.00736189281446,0.0842689575185215,6.2786552804884215,352.1809355185953,250,17.536375251638606
689,104.73012822102513,1047.9912610753331,276.572810265188,-15.095380005054192,1560.6173875536188,121.35724968942172,12.85969640501545,23.011608918479215,0.0844265654340457,6.2786552804884215,352.1809355185953,250,17.5407734757499
914,1835.8801296709328,1360.6787775561163,276.51891830597816,-14.847159984027057,1550.1236629323976,119.60885129243373,12.959941059399306,23.018934156920714,0.0837735291405964,6.2786552804884215,352.1809355185953,250,17.54835950015322
801,470.4970166474944,1204.6493068818706,276.54790007250307,-15.04331119127041,1540.252761797572,128.80320296353577,11.958186802494486,23.025870031202047,0.0907913564097796,6.2786552804884215,352.1809355185953,250,17.55554229863504
132,2083.5937834064634,211.5401625410132,276.6892312129226,-14.806701246447329,1537.6645195407618,113.5939423119694,13.536501051418636,23.02769603803096,0.0802053644347198,6.2786552804884215,352.1809355185953,250,17.55743331316998
483,387.87455343345937,731.4936354815638,276.6188633409991,-15.053305581930632,1531.635167513683,121.4288653842202,12.613435550660434,23.031961697871957,0.0860748838521756,6.2786552804884215,352.1809355185953,250,17.561850834853196
654,1765.1770670449318,1003.292752274681,276.57251646365535,-14.855901826702144,1524.7203218344075,112.4798479334624,13.555497716678614,23.036874549888235,0.0800929646916734,6.2786552804884215,352.1809355185953,250,17.56693858941341
677,1648.0784987653378,1028.052472290737,276.5693162519177,-14.872884286131272,1523.9511676098628,112.4540369728754,13.551769315115374,23.037422394160235,0.0801150000973697,6.2786552804884215,352.1809355185953,250,17.567505937500414
1020,2425.9830649280098,1535.8733751752366,276.4903266576141,-14.762790008122124,1520.5469148256525,111.27778249582012,13.664425015683324,23.039850460750063,0.0794544957986808,6.2786552804884215,352.1809355185953,250,17.570020445737985
984,1405.604884295431,1467.420122300154,276.5047923724709,-14.90960995471766,1518.053388485947,111.84569307887855,13.572747834065886,23.04163240780595,0.0799911715205545,6.2786552804884215,352.1809355185953,250,17.571865831927028
851,517.8608405588756,1275.5068181352267,276.537127245563,-15.036770342969678,1514.4500475792738,122.36012534184007,12.376989998566302,23.044212638697164,0.0877192273828905,6.2786552804884215,352.1809355185953,250,17.574537921670355
240,831.5503857230254,368.731713372478,276.67112063248106,-14.987874910934584,1501.7123410502682,132.54463792674417,11.329861128597646,23.05338314716529,0.0958264172593952,6.2786552804884215,352.1809355185953,250,17.58403490959582
1062,1143.270859864008,1628.1208676266217,276.48190762031425,-14.948056709261415,1500.528409202234,127.84018090955676,11.73753352448566,23.054239466058373,0.0924981383640031,6.2786552804884215,352.1809355185953,250,17.584921714315126
746,1373.5370969477642,1126.5470803415458,276.5557771874091,-14.91285964574085,1496.727517250751,112.34412406331076,13.322704055329854,23.056993163650773,0.0814924654552885,6.2786552804884215,352.1809355185953,250,17.58777344635117
313,1191.97140041665,469.1544923309971,276.65460949579693,-14.936338165399071,1494.7219876910676,121.2122677508943,12.33144149041828,23.05844896384081,0.0880432349165023,6.2786552804884215,352.1809355185953,250,17.589281074513202
878,115.94456591092488,1313.4432973883645,276.5331375497176,-15.094824281382335,1490.2477767959062,132.03510248062284,11.286754422102346,23.061703815164588,0.096192400347962,6.2786552804884215,352.1809355185953,250,17.592651801864747
865,2022.6250843049709,1293.928507520068,276.52809152007416,-14.81996800509338,1486.219965649856,113.17309326730717,13.132273076070348,23.064642293545656,0.0826741869980121,6.2786552804884215,352.1809355185953,250,17.595694893074057
835,1494.123897322408,1253.5883383168575,276.5363210847476,-14.895991952380976,1484.5475481025933,119.43163871295826,12.430102811119854,23.06586474159247,0.0873444102995466,6.2786552804884215,352.1809355185953,250,17.596960861518493
244,663.6178798611218,371.3670917315045,276.6714399075617,-15.012090035688264,1480.526165269839,136.8338452277615,10.819882776848717,23.068809804031954,0.1003430464443728,6.2786552804884215,352.1809355185953,250,17.600010771185417
797,716.0358757559148,1200.7211890814792,276.547461438807,-15.007916252845812,1478.8164294060844,113.69884378207806,13.006433312905727,23.070064354510652,0.083474075780845,6.2786552804884215,352.1809355185953,250,17.601309984941064
1003,748.2025322294166,1503.552339024044,276.50213548445424,-15.004490011292248,1475.5885303137477,112.1508632326591,13.157174967548942,23.072436844641256,0.0825177139224633,6.2786552804884215,352.1809355185953,250,17.603766938140765
863,321.970106505738,1293.5675831929718,276.53524739358687,-15.065065107607335,1470.6393290812848,113.60197521145145,12.945543652246636,23.076084581526278,0.083866698005501,6.2786552804884215,352.1809355185953,250,17.60754453818036
513,1059.0257248498365,770.6469958187629,276.6101940407702,-14.95674311200328,1469.1490678004047,118.45024391476484,12.403090270186226,23.077185361954907,0.0875346366388816,6.2786552804884215,352.1809355185953,250,17.60868450751528
139,962.3950268682172,217.1000883846689,276.69318684883274,-14.968383972344512,1468.9966503873002,119.08485595517908,12.33571337517676,23.077298007902154,0.0880127453499983,6.2786552804884215,352.1809355185953,250,17.608801163773173
631,743.5900279851692,964.4040872094064,276.5826107034371,-15.002992791776911,1468.1542933942983,113.06074243320468,12.985535578467225,23.077920772974306,0.0836084113311676,6.2786552804884215,352.1809355185953,250,17.609446099917246
613,1091.4706965533946,932.0984389557412,276.58597005006254,-14.952725646594114,1464.2573345236017,119.43667681587388,12.259695878686678,23.08080650142037,0.0885584773670834,6.2786552804884215,352.1809355185953,250,17.612434563240047
935,1530.6712569185058,1387.9409314723744,276.51612711393506,-14.891265092881495,1463.9872665746952,111.58667163428274,13.119732358115384,23.08100677331746,0.082753212517207,6.2786552804884215,352.1809355185953,250,17.612641965020995
277,365.8524428197862,405.9064625540194,276.6675475007788,-15.055145207131028,1463.1156626049196,116.09802166124292,12.602416834234072,23.081653373069543,0.0861501420148816,6.2786552804884215,352.1809355185953,250,17.613311584383922
887,814.5569910044968,1323.463020222939,276.5287340112331,-14.994211458447197,1458.3926378385222,116.82659141790792,12.483396289647894,23.085163863490823,0.0869715239994694,6.2786552804884215,352.1809355185953,250,17.61694705184565
1122,929.986260866042,1739.979854415297,276.4661002005979,-14.979232395108916,1457.6198812671064,118.91110482266716,12.258063563036131,23.085739313562588,0.0885702700444383,6.2786552804884215,352.1809355185953,250,17.61754298852705
892,437.80151569514544,1330.230240003286,276.52929310281866,-15.048523293242576,1456.3595966706052,124.29708394438016,11.716763985567754,23.08667846684791,0.0926621037461642,6.2786552804884215,352.1809355185953,250,17.618515576627466
1272,145.66038664538272,2037.671495024008,276.4248972341134,-15.093381324725168,1433.9814069076674,244.70780639929885,5.85997409730275,23.103491220982704,0.1852738565004459,6.2786552804884215,352.1809355185953,250,17.635926881962053
452,371.2627203984198,694.5225159306137,276.6244510235419,-15.055548606560604,1430.0565883979723,124.23802260133918,11.510619361568605,23.1064669637819,0.0943215969442018,6.2786552804884215,352.1809355185953,250,17.639008564240793
607,828.0881452897395,920.4093155009052,276.58882081337657,-14.99063730517168,1424.1241140619968,114.70117400323863,12.415950633790253,23.11098042113978,0.0874439688126051,6.2786552804884215,352.1809355185953,250,17.6436827052853
234,528.4079414054236,365.252121255244,276.6729257281287,-15.031551362388273,1422.0760721128026,117.24279713295984,12.12932569751035,23.11254294909385,0.0895103344634277,6.2786552804884215,352.1809355185953,250,17.645300860828648
