ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst_B,Erro_Mag_Inst,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Mag_Ap_B,Mag_Ap_G,Cor_B_G
54,1360.6488693467345,169.56858568092036,276.6985791836301,-14.910771551794069,115499.78539833956,414.6017445365845,-6.661602921565563,0.0038972636398495,7.571565842331426,625.9983263132058,250,12.777579819083346,-5.885155786663771,12.255896371572142,11.721847695929831,0.5340486756423104
520,785.1790088256274,1464.5851955180983,276.5077970117683,-14.999007363522136,115244.67262683217,385.9812990994018,-6.659202124705246,0.0036362626304571,5.856236647086228,625.9983263132058,250,12.779980615943664,-5.674745354385448,12.25829716843246,11.932258128208154,0.3260390402243054
55,393.54027059846646,176.90647490859365,276.7016047845053,-15.050207307720978,111361.91556156364,378.03983343431855,-6.621991710141425,0.0036856212924313,5.663447971944811,625.9983263132058,250,12.817191030507484,-5.67310149324886,12.29550758299628,11.93390198934474,0.36160559365153944
8,1006.0524132200836,37.24071041927356,276.719832497095,-14.961337404844992,109374.00932802714,383.9312258709292,-6.602435309217095,0.0038110894397034,6.21762541405197,625.9983263132058,250,12.836747431431814,-5.645663218300658,12.31506398392061,11.961340264292943,0.35372371962766636
272,284.3206279413009,782.7314484266838,276.6116515932952,-15.068434954725294,109022.37914958852,382.20030880023984,-6.598939116372796,0.0038061440091585,6.137446564363521,625.9983263132058,250,12.840243624276113,-5.470991623720799,12.318560176764908,12.136011858872802,0.18254831789210613
340,312.2889805666252,988.38243210862,276.58083973016426,-15.065237080083532,108476.75380445425,374.6379460930198,-6.593491679170452,0.0037495998341396,5.692508676187832,625.9983263132058,250,12.845691061478458,-5.587605657857525,12.324007613967254,12.019397824736076,0.30460978923117743
217,1018.7342386709204,624.5773190271626,276.63215657459506,-14.961951239864607,106331.77044009522,378.2284087406453,-6.571807590835395,0.0038618992392406,6.110077933322796,625.9983263132058,250,12.867375149813515,-6.239727461650033,12.345691702302311,11.367276020943567,0.9784156813587437
320,320.3435889644395,925.0207712998376,276.5902630834861,-15.063820912504893,104270.34073213092,376.47063880908337,-6.550551960120837,0.0039199466471971,6.170904497861218,625.9983263132058,250,12.888630780528072,-6.369462917952955,12.366947333016869,11.237540564640646,1.1294067683762226
104,1837.2743762257444,296.11931780024725,276.6776719377767,-14.842578608450744,95375.24346571538,356.8769275520949,-6.453739127304752,0.0040624932232292,5.702238330024517,625.9983263132058,250,12.985443613344158,-5.401515646230404,12.463760165832953,12.205487836363197,0.2582723294697562
642,1056.974833930133,1947.892885791568,276.4345506969382,-14.961751458489088,93576.32338738872,368.97754310779936,-6.433064922735995,0.0042809858738917,6.578217738816292,625.9983263132058,250,13.006117817912916,-5.75376501538127,12.484434370401711,11.853238467212332,0.6311959031893792
243,1985.9391467823395,715.7760855610738,276.6144615961401,-14.822890096976826,86137.79346014862,342.8632604841254,-6.343134334593714,0.0043215251628175,5.651339053332542,625.9983263132058,250,13.096048406055196,-5.894398585058282,12.574364958543992,11.71260489753532,0.8617600610086722
507,2689.2122570914107,1410.3047068063524,276.50794618291525,-14.724325127708608,84783.3622973219,348.5319734454227,-6.325926567352244,0.0044631535399917,6.107266853807112,625.9983263132058,250,13.113256173296666,-5.276048422535994,12.591572725785461,12.330955060057608,0.26061766572785316
456,1450.5078106337528,1283.7644073482106,276.5320021356411,-14.902400481302704,84314.37200350262,340.09227343893855,-6.319904002361437,0.0043793029883127,5.6451262569078855,625.9983263132058,250,13.119278738287472,-5.372184906511613,12.597595290776269,12.234818576081988,0.36277671469428086
459,2914.071019909881,1290.1449245754688,276.52491410872085,-14.691407284640226,83870.05400357349,339.2552857303949,-6.314167284964735,0.00439166837429,5.633924470582586,625.9983263132058,250,13.125015455684174,-5.357302437400218,12.60333200817297,12.249701045193383,0.3536309629795866
575,2550.253688189798,1671.166441896138,276.4696362573015,-14.745416154965053,82622.39939395012,344.1071777970325,-6.297894485677242,0.0045217418723571,6.031576830914519,625.9983263132058,250,13.141288254971668,-5.34815639516315,12.619604807460464,12.258847087430452,0.36075772003001205
628,1600.2806649737718,1898.9427829164783,276.43961087073984,-14.883266352598246,81733.93091367668,330.7125393235225,-6.286155944296263,0.0043929687454132,5.300421216659168,625.9983263132058,250,13.153026796352648,-5.752981856829894,12.631343348841442,11.854021625763707,0.7773217230777352
129,1905.324921147196,360.8519327143767,276.6677290278663,-14.8330369715045,79096.6310724811,335.0010721677744,-6.250544943771125,0.0045983079066826,5.803243944847816,625.9983263132058,250,13.188637796877783,-5.19538418137498,12.66695434936658,12.411619301218622,0.25533504814795904
440,1968.198501514658,1235.2988494269362,276.5370630513145,-14.827577019714134,74703.12090350251,325.3720410206351,-6.188496843061111,0.0047288041070254,5.628486171962121,625.9983263132058,250,13.2506858975878,-5.32022449459666,12.729002450076594,12.286778987996941,0.442223462079653
230,746.1589165918213,679.5575200085235,276.6251042729663,-15.001462567780305,71278.46776985028,324.49005800581045,-6.137545866727696,0.0049425705546089,5.8803535119717365,625.9983263132058,250,13.301636873921217,-5.547229214354563,12.77995342641001,12.059774268239039,0.7201791581709713
311,962.5954277237822,885.6191263418216,276.59344651062776,-14.971110823213348,70902.51781074627,321.5392658830246,-6.131804122409388,0.0049235935725302,5.746552841943254,625.9983263132058,250,13.307378618239522,-5.5622315193321645,12.785695170728317,12.044771963261436,0.7409232074668815
639,2969.045501721031,1923.5574360227963,276.43026691672515,-14.686039246337216,70624.4023481033,546.327946874017,-6.127536942494163,0.0083986303912,15.21915146757608,625.9983263132058,250,13.311645798154746,-5.207672917460684,12.789962350643542,12.399330565132917,0.3906317855106245
290,2278.639087661837,834.3459236360869,276.5955430568018,-14.781173197335118,68180.02359471447,331.3403140483321,-6.089292846287365,0.0052762694994162,6.503483723292762,625.9983263132058,250,13.349889894361546,-5.140858882057284,12.828206446850341,12.466144600536317,0.36206184631402394
539,899.991960973667,1529.6530593856894,276.4976101932523,-14.982722323517146,64588.92855192593,313.2619297619561,-6.030545178846159,0.005265739574378,5.839480543919883,625.9983263132058,250,13.40863756180275,-5.205433601476086,12.886954114291546,12.401569881117515,0.485384233174031
153,1746.9967136038588,418.6017728456141,276.6597915003477,-14.856108702914002,64540.368618028064,311.3324096389588,-6.02972858211754,0.0052372430524141,5.737924228290386,625.9983263132058,250,13.40945415853137,-5.420744707450816,12.887770711020165,12.186258775142786,0.7015119358773791
