ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst
157,1082.0664345423322,300.68358520200115,276.6802083031014,-14.951481549792904,3012.045104352088,22.297696344205917
158,1729.431235530094,304.1155898555943,276.67693945725915,-14.858162787991509,1710.018029003113,22.912348298542852
160,328.6088195398742,304.8876358782612,276.6827812623452,-15.060095252738128,1617.6852033535833,22.97261498891546
161,1288.519138444782,305.35098922215053,276.67863357931304,-14.921738711617088,1650.9586277635608,22.950509546214082
162,1569.5691678651428,308.36011905040283,276.67698784105437,-14.881230848977507,1865.019422498488,22.818141624294206
163,2589.0688038796825,307.61804919837004,276.6727461147746,-14.734201173691043,5194.628183553279,21.705963853020258
164,390.02803499558775,309.89613861904263,276.681773302306,-15.05126492379356,1327.4463506154352,23.187307576962052
165,824.4372070456417,309.5947108200595,276.6799740954215,-14.988654815960185,10475.73260070743,20.944389011004475
166,853.355211811894,311.3828903654492,276.6795844302078,-14.98449404271346,2471.7617044316503,22.51233352335543
167,1462.6365035366625,312.07131665729145,276.6768898559907,-14.896663952697383,2521.989483475634,22.49049184352402
168,2517.0162170681165,311.5454210402291,276.6724688325941,-14.744610807533642,52912.840743710156,19.185947326118722
169,2836.796923532161,310.65385597077915,276.671233547156,-14.698478708902377,6304.089104414357,21.49579416415576
170,1956.7029796132535,316.8801485586766,276.67406667951343,-14.82544368466253,1695.9090603758596,22.921343620681185
171,1304.5404368572083,315.6416561211668,276.67703040818697,-14.919471901305728,1709.77795638299,22.912500737774305
172,2757.6954778643462,321.6629224180325,276.6699312772903,-14.709936192839685,2627.9773546868237,22.44579597522265
174,2664.0675996896903,328.50613467660895,276.6693118275911,-14.72347105276258,5474.345765992817,21.649019460478055
175,2460.238807884384,329.9112569874014,276.66997378549667,-14.752877737610678,2018.4049222208705,22.73232928015219
176,283.26201847667016,333.14156857486563,276.6787568628444,-15.066746684368598,1417.9172663585414,23.115722794019792
177,501.3932447208915,333.57185199476464,276.67776778984944,-15.035313628020567,6525.095362620988,21.458382863777885
180,689.0717056280612,341.7091448312396,276.6757572601012,-15.008298661075806,2492.362339045372,22.503322071165698
181,864.7393855176837,343.61767376057367,276.6747267216043,-14.982986978974305,1601.0039674008513,22.98386900134755
182,1525.7794582095378,343.86388079606513,276.67187922109144,-14.887692901862328,2400.9390452206135,22.543897185740324
184,751.8199717569044,345.9179955933719,276.674862934031,-14.999272200461471,2436.573422432055,22.527901264885628
185,412.4958708069669,346.3503278356312,276.67623782402416,-15.048177776679294,6846.25551234126,21.406217262644663
186,1204.9116649172531,347.95009816519087,276.67263489958816,-14.933969361365552,2252.5277464924584,22.613174648440967
187,1935.4109161817435,345.817649285248,276.6698425899581,-14.828635485435584,4216.615589099201,21.932439996581113
188,849.524710696301,348.5867904712672,276.67404994644323,-14.985200615011852,612.8824720882767,24.02640701897771
189,992.0691752404783,350.9134784292475,276.67309741355183,-14.964663605442324,3303.121422197328,22.197538675234604
190,1439.5718314057788,352.11182275171944,276.6710159828769,-14.900156466668443,22520.86312860612,20.1133874437976
191,355.17008591670924,354.0695661735811,276.67532880859784,-15.056470792993851,1039.4593517933608,23.45283124455083
192,880.3270765837586,357.25473267333734,276.67262592307685,-14.98079676463226,4604.87717810522,21.836804893861775
