ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime,Mag_R_Calibrada
53,3031.164669165786,159.23654884970375,276.7010562093307,-14.641067372820045,90508.61196365958,-6.7841296398429085,3.344222022651961,710.3422573430399,175,11.511090046103732
145,2558.8840526762046,348.1641707589027,276.6748537242911,-14.710075880057412,88833.98055572645,-6.763852685325636,3.344222022651961,710.3422573430399,175,11.531367000621005
405,2467.3355731077413,877.3510048584994,276.59624264487564,-14.725515191421303,86978.50039938727,-6.7409346675375,3.344222022651961,710.3422573430399,175,11.554285018409141
928,862.051962992879,2005.22111734595,276.43458153780284,-14.961760730627416,86877.45308896684,-6.739672579774966,3.344222022651961,710.3422573430399,175,11.555547106171675
438,767.6865913813748,944.5859054676794,276.59338350557186,-14.971126278391576,79675.4742467177,-6.64571652121912,3.344222022651961,710.3422573430399,175,11.649503164727522
268,319.7760401768706,574.7721142267845,276.65055488039894,-15.034274073880963,78607.89306784177,-6.631070268309744,3.344222022651961,710.3422573430399,175,11.664149417636896
336,551.752823960107,738.8315537128359,276.6250447752225,-15.001457330354349,78069.82908452605,-6.623612949735293,3.344222022651961,710.3422573430399,175,11.671606736211348
106,1111.0433026027365,271.4808320858381,276.6924807912036,-14.918811377237462,75692.95463539311,-6.590043523356574,3.344222022651961,710.3422573430399,175,11.705176162590067
100,90.03542601788433,261.39627232195915,276.698385777549,-15.066164150514355,75604.15875947993,-6.588769091793165,3.344222022651961,710.3422573430399,175,11.706450594153477
161,2320.578683842455,370.1953810795374,276.6725750519055,-14.744580776005083,72893.77167988906,-6.549130933626116,3.344222022651961,710.3422573430399,175,11.746088752320524
87,1165.3035972204302,229.2384783219935,276.69855947698306,-14.910802843848684,71984.43351789465,-6.53550135657794,3.344222022651961,710.3422573430399,175,11.759718329368702
220,1550.935815981787,477.8580558166979,276.65976960015206,-14.85615586000946,68330.2283531932,-6.478937058525272,3.344222022651961,710.3422573430399,175,11.81628262742137
936,2035.2439771324723,2017.5479743589117,276.4278780680064,-14.792561276411435,65314.4338741636,-6.429927795453773,3.344222022651961,710.3422573430399,175,11.865291890492868
518,626.0586808424094,1124.918571100398,276.56704474364926,-14.992292614600082,62918.93403236492,-6.38935826886076,3.344222022651961,710.3422573430399,175,11.90586141708588
938,2151.165107017786,2018.964484233728,276.4271885987769,-14.77584194194176,61283.16745979583,-6.36075788826766,3.344222022651961,710.3422573430399,175,11.934461797678981
33,811.3196179710988,97.03125619367772,276.7198383567112,-14.961364740568934,59534.98195479752,-6.329335444102057,3.344222022651961,710.3422573430399,175,11.965884241844584
127,330.46989924560893,307.2514771483592,276.6904929466861,-15.03164410684738,59192.36887637223,-6.323069180205384,3.344222022651961,710.3422573430399,175,11.972150505741258
90,199.73472177736903,236.65516956152945,276.7016100383627,-15.050228516690712,58798.524449492805,-6.315820947238057,3.344222022651961,710.3422573430399,175,11.979398738708584
805,1227.0735175967918,1702.9176561083405,276.4781941754792,-14.90789487970501,58646.274216014426,-6.3130059450387535,3.344222022651961,710.3422573430399,175,11.982213740907888
726,590.76164155792,1522.57460128401,276.5077935497675,-14.99897834518079,58297.47651962127,-6.306529268727134,3.344222022651961,710.3422573430399,175,11.988690417219507
515,347.7513443040104,1117.4395404474185,276.5693435273162,-15.03242218519999,55725.528928385,-6.257540376664672,3.344222022651961,710.3422573430399,175,12.03767930928197
479,118.73958288607972,1047.0863006754307,276.5808306064261,-15.06518601464048,54654.499113504135,-6.236469674590641,3.344222022651961,710.3422573430399,175,12.058750011356
630,2569.3261064432027,1332.9571174466744,276.5278193328364,-14.712686014024676,51818.639372071135,-6.178619891564543,3.344222022651961,710.3422573430399,175,12.116599794382097
615,409.5944076710494,1307.593507591299,276.54067183786685,-15.024259254978062,51482.700941601535,-6.171558186436196,3.344222022651961,710.3422573430399,175,12.123661499510444
873,418.87218519387727,1876.542681581614,276.455647974495,-15.025178995644854,51366.410447315546,-6.169102922564354,3.344222022651961,710.3422573430399,175,12.126116763382287
854,1823.9872690596333,1821.4614476416525,276.45801420977864,-14.822248322795136,50812.631618981366,-6.157334097994852,3.344222022651961,710.3422573430399,175,12.13788558795179
149,511.8301241981805,354.2280144870272,276.6826904110382,-15.0056559204535,48348.45421289117,-6.10336136194592,3.344222022651961,710.3422573430399,175,12.191858324000721
606,1771.7434203643388,1293.3214478083696,276.5370661268561,-14.82763868715204,48075.15442544688,-6.09720659813267,3.344222022651961,710.3422573430399,175,12.19801308781397
636,1254.7665852084936,1341.92257576482,276.53197936631074,-14.902443267357386,46654.29176083318,-6.064633880715356,3.344222022651961,710.3422573430399,175,12.230585805231286
496,2598.4228462718934,1075.877161545013,276.56606268056515,-14.7074184429741,45788.21285046637,-6.044289110802598,3.344222022651961,710.3422573430399,175,12.250930575144043
