ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst
56,1430.8602097438945,108.6055446859345,276.70737191671606,-14.900392357694633,3727.141818116361,-2.9335897733609215
57,2967.9521718533483,110.65001706023261,276.7004778706564,-14.678707386874423,552.9238452201826,-0.861813277295162
58,411.56765366177785,111.54420006656804,276.7112820429784,-15.04733719406167,5640.325260914571,-3.383410351286818
59,744.895447711905,112.84122029733302,276.7096683540869,-14.999300050188372,2184.7970030275756,-2.353677706802843
60,1220.7279876764396,113.31541152409226,276.70756724333796,-14.930708280193626,2307.0958592219977,-2.4128140776116513
61,677.3442127892212,113.85607172479283,276.7098048770986,-15.009041014506554,5670.969474418147,-3.389293252271353
62,97.89417956156889,116.37985221540703,276.7118951045595,-15.092560679755353,45062.69236631226,-5.639692818344109
63,2480.096272979325,118.81646955419326,276.7013559765148,-14.749120397505143,1242.0099985480192,-1.7404627084542268
65,2707.6707908897065,120.05595916934458,276.7001943881391,-14.71629747845103,56043.70640653762,-5.876467101540483
66,262.26464559591545,121.74223499577434,276.71039562761393,-15.068896417030981,7503.920904651866,-3.693370597566231
67,1398.037815242882,122.3101326516456,276.70546817869223,-14.905182388811925,2324.07394890819,-2.420774834831459
68,1650.5936711760146,121.19000275434257,276.7045555550846,-14.868762097146599,2992.2004101258353,-2.695126673641324
69,1981.7528391125875,124.11310152929698,276.7027024335029,-14.821019331135016,24034.278384293895,-4.957227696351353
71,694.1658304696997,127.33646752756438,276.70772183178696,-15.006672710406198,3172.985930538096,-2.758820344275936
72,1808.9383819218992,127.01889753439094,276.7030089126732,-14.845953273134528,10483.31917736039,-4.056396999869418
73,190.45617740726314,127.90712435426573,276.70978102456064,-15.07927018409975,504.3384637993877,-0.761955206465187
74,385.3683485127602,128.89941925891313,276.70880367057254,-15.051185293224929,7902.947974852577,-3.749622785784438
75,784.275276429728,129.7179776862718,276.70698247433535,-14.993694328115797,18140.41677776468,-4.6517681303070635
76,1158.0606165769266,130.30166262882284,276.705301035854,-14.93981416814742,12925.341850939614,-4.283755073791605
79,1217.0073708189911,136.64100434762557,276.7041037945366,-14.931342574205257,1110.4028627529624,-1.6188514102597962
80,1920.2134666756083,136.23206756426637,276.7011588887387,-14.829945352336729,465382.29101855593,-8.174674611454908
81,1576.1358555830361,137.99151064287443,276.7023682711886,-14.879569178332954,2431.971818942111,-2.4700463236653523
82,1109.1051237085633,139.42252464352185,276.7041493951099,-14.946910010196312,1664.0967117405962,-2.058096384400723
83,1484.93218128285,141.239694814154,276.7022736151438,-14.892733308851518,2599.4014138639322,-2.5423333553763356
84,2165.1400562649615,141.3663770935917,276.69934459670645,-14.794644008571938,2883.326508601196,-2.6548845402865293
86,557.0322494143496,145.15244782139933,276.70564758967083,-15.02651239142652,4205.619457469671,-3.0647249115602104
87,1683.385141204508,143.48700030517628,276.70109020846166,-14.86412762510748,1307.7356228033314,-1.796449863590859
88,1761.06751078239,143.8371151256956,276.70070579292604,-14.85292734980757,6151.947980244819,-3.4776816145539353
89,2094.748898042948,146.03530096115563,276.6989499838336,-14.804815847434847,1533.9812645030324,-1.9697001166407109
