RA,DEC,Magnitude
276.53532906201104,-14.868996435430999,13.529823741137523
276.5308399345063,-14.7936265352171,8.828922273039694
276.5277507532159,-14.712803987040576,12.89776098142475
276.5320003584996,-14.902411271943745,13.06326319851191
276.5317799610696,-14.917032284210238,15.367955322695165
276.5367069376713,-15.093162043162629,15.250637140452435
276.5248945071233,-14.691479106958086,13.478915215453263
276.5309156549427,-14.918491222935122,15.67324656042878
276.5291817669997,-14.878640477227673,14.311628337260114
276.5303397488278,-14.93090200625866,16.7900516879089
276.52467592545776,-14.790282532816214,14.01627978807428
276.5248650761741,-14.801271978509511,15.145373075426097
276.5295978651458,-14.982342103982244,14.96743344744872
276.52560698945524,-14.85941694326606,11.118256261068439
276.52839678619125,-14.963166065680321,13.821517609769836
276.5267867896074,-14.939886747739742,15.360230961791286
276.5281804373715,-15.00447000883384,16.317457993264277
276.5283407647264,-15.052475075620649,15.302427700827607
276.52653719138794,-15.030798152036274,15.523475910423818
276.5279256429307,-15.09977267108748,15.579540817839002
276.5214061906316,-14.915332627034244,15.541331940290238
276.5243419257028,-15.028568337274946,13.126621154869014
276.52425621750274,-15.050927149323137,15.3011815576286
276.5125044109081,-14.675187973443924,15.008898189806652
276.5146840428227,-14.800560753011043,14.254198118785148
276.5202301077901,-15.018502280174829,14.290273798118587
276.5129684171059,-14.828762682418674,14.745047255588084
276.5111632001438,-14.789807722576612,14.931511005695786
276.50795229033935,-14.724399638686883,13.367351744858418
276.5163850366434,-15.026763489779983,15.605321491270718
276.51332820178857,-14.940283565687574,15.680518576376983
276.5087304504355,-14.807968664137212,13.816434703100612
276.5169761215125,-15.111654544433723,15.631453461606348
276.5124186378205,-15.06499425929708,15.119011581368916
276.50590882333745,-14.873676316118003,15.47859801171789
276.50535420310194,-14.866635527137447,15.003912189421609
276.5097173934257,-15.058082550936156,17.40809143690887
276.5077893486407,-14.999012044724061,12.684503958221745
276.51027259824605,-15.0950419391224,14.77540569744876
276.51007259113726,-15.1035341765454,14.643659494769748
276.5033965332093,-14.956299317786913,14.423959295160174
276.50559254462877,-15.052675616822324,15.702584499262267
276.5049677804325,-15.06672097112488,15.601862983029637
276.50159709050786,-14.978360390818507,13.460370118894609
276.50288070469475,-15.03442163378133,15.010654557417386
276.50007692137234,-14.99517671397756,15.784860545099201
276.4995590387964,-14.99192071006362,15.642046727377705
276.49761013679614,-14.982725492561078,13.307997584639594
276.49245466517124,-14.814578535362719,14.272109382784055
276.49880940466943,-15.045417410348918,15.997876087099549
276.4855486550304,-14.691289801830422,15.393567201592909
276.49174009043793,-14.902788856467941,15.70524306517128
276.495973943435,-15.053945926716633,15.080084488755649
276.49607934236354,-15.070009857087031,11.378045602352818
276.4944447371009,-15.03542369318341,14.497598826465692
276.4901207196795,-14.910501650840036,16.28510399321494
276.4903803076648,-15.050411648576581,12.581728985427155
276.4897487333796,-15.027250158660886,12.766889115263236
276.48356498373437,-14.863092860021913,13.67187335642292
276.4899531846071,-15.093393779939982,14.115529571951246
276.4830534396637,-14.883364164883066,14.594573366541216
276.48206668933517,-14.854186859951062,16.072191794637206
276.48575846940673,-15.0562453556814,14.896475719384311
276.48656340740183,-15.09009276832804,15.706243346403655
276.4793238047926,-14.879108172136293,22.281000297177584
276.48479689906645,-15.076568469902398,15.424684976437051
276.47818618275596,-14.90787825122222,13.639810710387467
276.4803562503187,-15.010900399609389,15.49548025998047
276.4786093754215,-14.961270163511735,15.172364006608369
276.47561705227196,-14.923655348279363,15.30019439141959
276.469625554197,-14.745486682611345,13.347613021417573
276.47691824298505,-15.003303545382119,15.04059744404514
276.47104376986476,-14.850949137953073,14.47678945112609
276.4746269839652,-14.997593337394548,14.207952153260996
276.46865291698066,-14.864972245918056,14.637277052448313
276.46888660428215,-14.907009265120221,13.724967765484925
276.4691187779252,-14.915063183606685,15.061075848174095
276.4726139468435,-15.048931713637916,14.290119618559196
276.46793965827726,-14.963500006567484,15.315399182786843
276.46728012527086,-14.974807003157759,15.78107243546563
276.4612687675986,-14.792237202381793,18.79421510669664
276.4700201768235,-15.110351148298355,14.805262408782237
276.4672861599886,-15.017629355870382,15.923418160297459
276.4695354986939,-15.107088685798635,14.41523746848915
276.46814944238685,-15.058282709003969,15.197565959294971
276.4558749674743,-14.706929209865645,15.187608823237582
276.46697369550634,-15.11181161990321,14.65309144505963
276.4659544661037,-15.104474699703356,13.834094145697271
276.45801180229176,-14.822212928902244,12.529057812611292
276.4635861470211,-15.104621360260262,15.08934828278511
276.4632412937336,-15.111918950017714,14.629385916712602
276.46007167682524,-15.000828723601225,14.877715553787084
276.4611118756235,-15.112034446116317,14.588216259405383
276.4610070227904,-15.108828435674889,14.67989308692637
276.4600491136874,-15.109584030511195,14.649947483038957
276.45857583993893,-15.065021224420512,15.701537014740849
276.45565352845193,-14.961895816795638,15.037303951558243
276.45433842631945,-14.919336150625327,12.33635042967389
276.45180546447136,-14.835091718061765,14.884043241588051
276.44923426603765,-14.746967401783191,18.40184146161735
276.45940243262197,-15.112060275302753,14.605551967464164
276.4588215665447,-15.109218662029658,14.62660531924035
276.4556108963741,-15.02520616310454,14.61471049859096
276.4556401685334,-15.06476941278451,14.182023774957132
276.4569090893855,-15.111902506238698,14.577707712959468
276.45017801095025,-14.929715757055867,15.588134583103479
276.45454188476793,-15.103044460420396,14.896808905624976
276.4519850336524,-15.009280170212179,15.302472317471237
276.4437932715142,-14.731056636454912,13.86055079463613
276.45326018799483,-15.10503651564449,14.713989086220007
276.441811769316,-14.723541237144563,14.887449431094307
276.4519269735098,-15.111815353218347,14.578892224691796
276.4399107541072,-14.700601983299823,17.718256725670457
276.4418487300624,-14.799656595540242,15.193834337690063
276.45041921817983,-15.109218105354417,14.60264081718109
276.44476452660695,-14.917201994923818,15.040532929822964
276.44915081739043,-15.084758399086494,16.08857959561386
276.44962752189923,-15.108254680760949,14.618079983395635
