ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime
128,402.60709202635064,296.9233572122091,276.6905235134925,-15.031639187368715,76654.64147499972,-5.265968015850902,4.248347012311862,710.3422573430399,600
554,2564.4166391178323,1457.1045481697872,276.50797174608226,-14.724307664968462,75340.27776893595,-5.247189916672039,4.248347012311862,710.3422573430399,600
589,777.2957656592728,1576.8899348794769,276.49759596040263,-14.982714399629508,71794.84606001514,-5.194855045648207,4.248347012311862,710.3422573430399,600
707,2844.9501590873942,1970.0240254974103,276.43024212894267,-14.685958378069264,71135.73193413334,-5.184841385138443,4.248347012311862,710.3422573430399,600
537,455.5129293671183,1406.8355456995632,276.52435504958316,-15.02850631624525,69638.79391130549,-5.161749976226764,4.248347012311862,710.3422573430399,600
441,419.98753702027375,1107.2938258876165,276.56928684848333,-15.032420996197459,69633.21104888571,-5.1616629305084185,4.248347012311862,710.3422573430399,600
181,1781.0214984111665,409.43657525775103,276.6677583238387,-14.833044594486529,69334.13761256821,-5.156989669312377,4.248347012311862,710.3422573430399,600
717,2222.9862679290136,2007.9563776909117,276.42718517877745,-14.775802301442239,68491.95674884494,-5.143720808440166,4.248347012311862,710.3422573430399,600
362,2153.820074267619,882.0749096481915,276.59556756477593,-14.781180696406295,60271.34637033957,-5.0048991066793995,4.248347012311862,710.3422573430399,600
689,1550.6065241954088,1924.2190743330846,276.44248727275476,-14.872476416400875,58384.52842001896,-4.9703663157939815,4.248347012311862,710.3422573430399,600
193,2536.237144761114,427.41941777120866,276.66178301491175,-14.724165228928491,58000.146115228476,-4.96319459316192,4.248347012311862,710.3422573430399,600
583,806.6123960810351,1549.2728386039887,276.50160163597076,-14.978367627192858,57726.35282701079,-4.958057172726845,4.248347012311862,710.3422573430399,600
287,2360.629715262072,662.2104500316576,276.62749913329577,-14.750450939469214,55723.891918844136,-4.9197254770464705,4.248347012311862,710.3422573430399,600
100,1183.2093377347023,236.81790168030506,276.6961397262434,-14.918639817905081,54918.141991759476,-4.90391146309762,4.248347012311862,710.3422573430399,600
604,1607.6739678298954,1647.492388017276,276.4835822879517,-14.863110597689577,53472.80006588064,-4.87495418959946,4.248347012311862,710.3422573430399,600
638,1306.404016413874,1754.0509716328559,276.46892207680423,-14.907032574026514,52988.904220869765,-4.865084220677716,4.248347012311862,710.3422573430399,600
73,2583.0669659854548,168.1311619305797,276.70028016345356,-14.716353612813768,51822.378212949785,-4.840915223003358,4.248347012311862,710.3422573430399,600
488,2340.1948326436477,1255.006853502389,276.53909289075574,-14.75581890466159,51454.061035850726,-4.833171017406996,4.248347012311862,710.3422573430399,600
693,2894.5141092441268,1945.4058712251936,276.43370690855755,-14.678712504726377,51148.496384254075,-4.826704052171134,4.248347012311862,710.3422573430399,600
679,2530.4712217493047,1888.0251551417093,276.44380006843244,-14.730965175919355,50492.405193912506,-4.812687020801639,4.248347012311862,710.3422573430399,600
440,1203.2628709648766,1102.5618987260825,276.5666918378747,-14.919268473281631,50126.41045498557,-4.804788388944362,4.248347012311862,710.3422573430399,600
32,2015.3870914270503,65.38164358553638,276.71811743237305,-14.797823159324032,49517.60304283298,-4.791520909019265,4.248347012311862,710.3422573430399,600
243,2935.9069313294494,535.1822774961907,276.6439518338867,-14.666976786734018,49105.661596602,-4.782450790621983,4.248347012311862,710.3422573430399,600
471,1661.4518652334045,1202.5256792840362,276.5498166570777,-14.853533896390626,48990.97838204319,-4.779912155763964,4.248347012311862,710.3422573430399,600
500,481.99450543387053,1297.0189228364281,276.5406622859675,-15.024233645196372,48888.964804556046,-4.777648977610136,4.248347012311862,710.3422573430399,600
334,975.3012945636273,797.0876631077049,276.61330757479567,-14.950942845961235,48672.099690146104,-4.772822078779242,4.248347012311862,710.3422573430399,600
560,1984.761590207264,1468.2983651711586,276.50875735414184,-14.807963996249462,48650.07229482685,-4.772330598975304,4.248347012311862,710.3422573430399,600
503,1557.1151187639937,1302.5633578912227,276.5353160715574,-14.869000904566652,48063.15281465725,-4.759152513946422,4.248347012311862,710.3422573430399,600
439,153.85288391357474,1102.7394035730147,276.5710836874734,-15.070859906839594,48057.19638133072,-4.759017951070273,4.248347012311862,710.3422573430399,600
