ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,Mag_Inst,Erro_Mag_Inst,Std_Fundo_Local,Area_Ap,Exptime
532,929.5077698956522,1502.053096291377,276.5016060668595,-14.978359556172276,56411.67772890179,307.255341015876,-5.88357251878607,0.00591344092519389,6.2147627529210325,625.9983263132058,250
39,2707.6700738607947,120.05657011034249,276.7001943001602,-14.716297584488968,55992.45608609647,303.11972281350444,-5.875473773474763,0.005877525403647012,6.040146013689753,625.9983263132058,250
619,2655.124156471968,1841.61649450644,276.4437870579344,-14.730977832090762,54548.443726730766,298.205401044869,-5.847105889895952,0.00593530414059749,5.9116199415763635,625.9983263132058,250
236,1844.7097829154056,695.5373137233119,276.61807774002455,-14.843170103771397,53723.32689597603,301.7360113853709,-5.8305572262037275,0.006097812747066389,6.159485483856011,625.9983263132058,250
430,2465.0917963596553,1207.8348872241438,276.53907192635296,-14.755819892676548,53411.593884131,286.0710619161716,-5.824238823764861,0.005814980032166114,5.375474123571957,625.9983263132058,250
100,1792.72843925692,293.52071337415117,276.678249472714,-14.848991193011983,51930.930342849635,290.0476340511637,-5.79371523595075,0.006063914399575313,5.72099765424399,625.9983263132058,250
373,541.692065440513,1058.8889493197125,276.56935656888623,-15.0324676919874,50484.753934731765,294.1568255534135,-5.76305058788844,0.006325990335938396,6.053122649352932,625.9983263132058,250
367,1327.1166485109031,1054.2925288165654,276.56675061084724,-14.919257615568196,49672.767925505,286.59190239287267,-5.745445880687682,0.00626405254675122,5.744533090215712,625.9983263132058,250
554,1732.1287877274171,1600.6507482991406,276.48355904530945,-14.863079010876692,49265.284771450155,287.53618300871284,-5.736502472106664,0.006336673691034272,5.827950366404677,625.9983263132058,250
237,1142.5915044614198,704.2627581220607,276.61974520396956,-14.944425970771903,48967.16888253897,290.1410629288916,-5.7299124665544365,0.006433007241597431,5.983122400049669,625.9983263132058,250
564,1422.68503450454,1645.2720510182842,276.47818904273527,-14.907857499477405,48305.59513512318,287.2934345609546,-5.715143571015294,0.006457108768256004,5.899045363911586,625.9983263132058,250
